Name,Specialisation,City,Hospital/Clinic,Experience,Padma_Vibhushan,Padma_Bhushan,Padma_Shri,Dhanvantari_Award,BC_Roy_National_Award,Other_Awards
Dr. Amit Pendharkar,Interventional Cardiologist, New Delhi," BLK Super Speciality Hospital, New Delhi",20,0,0,0,0,0,3
Dr. Ashok Singhal,Neurologist, Bangalore," Fortis Hospital, Bangalore (Bannerghatta Road)",12,0,0,0,0,0,4
Dr. Sivakumar K S,Cosmetic Surgeon, Chennai," Apollo Hospitals, Greams Road, Chennai",12,0,0,0,0,0,6
Dr. Asit Arora,Surgical Gastroenterologist, New Delhi,Hepato-Pancreato-Biliary Surgeon,0,0,0,0,0,0,1
Dr. Kuldeep Singh,Cosmetic Surgeon, New Delhi," Indraprastha Apollo Hospital, New Delhi",27,0,0,0,0,0,5
Dr. Sonal Kumta,Gynaecologist and Obstetrician, Mumbai,  ,0,0,0,0,0,0,8
Dr. Raman Deep Singh Arora,Pediatric Oncologist, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",20,0,0,0,0,0,5
Dr. Sougata Paul ,Cataract Surgeon, Kolkata,", Retinal Ophthalmologist",0,0,0,0,0,0,9
Dr. Arundhati Chakraborty,Radiation Oncologist, Kolkata," Apollo Gleneagles Hospital, Kolkata",26,0,0,0,0,0,7
Dr. Anjana Mukherjee,Gynaecologist and Obstetrician, Kolkata," Ruby General Hospital, Kolkata",22,0,0,0,0,0,5
Dr. Harish Mohanty,Interventional Cardiologist, Mumbai," Nanavati Super Specialty Hospital, Mumbai",48,0,0,0,0,0,7
Dr. Vandana Kent,General Paediatrician, New Delhi," Medeor Hospital, Qutab, New Delhi",30,0,0,0,0,0,9
Dr. Mohan Bhargava,Interventional Cardiologist, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",23,0,0,0,0,0,8
Dr. Suguna,Gynaecologist and Obstetrician, Bangalore," Narayana Multispeciality Hospital, Bangalore",25,0,0,0,0,0,10
Dr. T. S. Kler,Interventional Cardiologist, Gurgaon,  ,30,0,0,0,0,0,9
Dr. Sunil Sofat,Interventional Cardiologist, Noida,Cardiac Surgeon,30,0,0,0,0,0,8
Dr. Radhika Thappeta,physician, Bangalore," Columbia Asia Hospital, Bangalore(Whitefield)",22,0,0,0,0,0,9
Dr. Vivek Gupta,Interventional Cardiologist, New Delhi," Apollo Spectra Hospital, New Delhi",25,0,0,0,0,0,7
Dr. Bapuji N. Sawant,Neurologist, Mumbai," Nanavati Super Specialty Hospital, Mumbai",44,0,0,0,0,0,9
Dr. SJS Khurana,Nephrologist, Amritsar," Fortis Escorts Hospital, Amritsar",42,0,0,0,0,0,6
Dr. Anjali Kumar,Gynaecologist and Obstetrician, Gurgaon," CK Birla Hospital, Gurgaon",30,0,0,0,0,0,3
Dr. Mukesh Gokhale,General Surgeon, Mumbai,", Laparoscopic Surgeon",0,0,0,0,0,0,2
Dr. Mohan Koppikar,General Surgeon, Mumbai,", Laparoscopic Surgeon",0,0,0,0,0,0,9
Dr. Raman Kumar Malik,Nephrologist, Mumbai," Fortis Hospital, Mulund, Mumbai",28,0,0,0,0,0,5
Dr. Anto Sahayaraj R,Cardiology, Chennai,Cardiac Surgeon,0,0,0,0,0,0,4
Dr. Ramesh Maturi,Surgical Oncologist, Hyderabad," Continental Hospitals, Hyderabad",19,0,0,0,0,0,10
Dr Gul J Nankani ,Ophthalmologist, Mumbai,Cataract Surgeon,0,0,0,0,0,0,10
Dr. M .P. Ram Prabhu,Medical Oncologist, Chennai," Global Hospitals, Chennai",18,0,0,0,0,0,1
Dr. Piya Roy,Gynaecologist and Obstetrician, Kolkata," AMRI Hospital, Kolkata (Mukundapur)",23,0,0,0,0,0,3
Dr. Punit Dilawari,Orthopaedic and Joint Replacement Surgeon, New Delhi,Foot and Ankle Surgery,,0,0,0,0,0,2
Dr. Milind Patil,Orthopaedic and Joint Replacement Surgeon, Mumbai,Hip Surgery,0,0,0,0,0,0,6
Dr. Neeru Mehra,Gynaecologist and Obstetrician, Gurgaon," Cloudnine Hospital, Gurgaon (Sector-47)",29,0,0,0,0,0,4
Dr. Deni Gupta,Medical Oncologist, New Delhi,  ,11,0,0,0,0,0,8
Dr. Deepak Jha,Surgical Oncologist, Gurgaon," Artemis Hospital, Gurgaon",11,0,0,0,0,0,1
Dr. Shomeshwar Singh,ENT Surgeon, New Delhi,,23,0,0,0,0,0,10
Dr. Amitabh Malik,ENT Surgeon, Gurgaon," Paras Hospitals, Gurgaon",18,0,0,0,0,0,5
Dr Jameel J K A,Obesity and Bariatric Surgeon, Chennai," Apollo Hospitals, Greams Road, Chennai",14,0,0,0,0,0,6
Dr Rajat Goel,Obesity and Bariatric Surgeon, New Delhi," Primus Super Speciality Hospital, New Delhi",11,0,0,0,0,0,3
Dr. Swati Garekar,Cardiac Surgeon, Mumbai," Fortis Hospital, Mulund, Mumbai",10,0,0,0,0,0,3
Dr. Rama Mohan Reddy Vada,Radiation Oncologist, Hyderabad," Continental Hospitals, Hyderabad",15,0,0,0,0,0,1
Dr. Ritesh Sanguri,Interventional Cardiologist, New Delhi," Max Super Speciality hospital, Shalimar Bagh, New Delhi",12,0,0,0,0,0,1
Dr. Supertiksh Yadav,Interventional Cardiologist, Gurgaon," Fortis Escorts Heart Institute, New Delhi",10,0,0,0,0,0,4
Dr. Vikram Kamath,Neurologist, Bangalore, Apollo Hospital (Bannerghatta Road) Bangalore ,15,0,0,0,0,0,2
Dr. Ashish Gupta,Interventional Cardiologist, Gurgaon," Artemis Hospital, Gurgaon",15,0,0,0,0,0,2
Dr. Bipin Dubey,Interventional Cardiologist, New Delhi,,20,0,0,0,0,0,2
Dr. Hemant Gandhi,Interventional Cardiologist, Gurgaon," Fortis Memorial Research Institute, Gurgaon",10,0,0,0,0,0,2
Dr. Kartikeya Bhargava,Interventional Cardiologist, Gurgaon," Medanta - The Medicity, Gurgaon",14,0,0,0,0,0,7
Dr. Vikas Jain,Urologist, New Delhi,  ,0,0,0,0,0,0,4
Dr. (Sqn.Ldr) HS Darling,Medical Oncologist, Gurgaon," Narayana Superspeciality Hospital, Gurgaon",15,0,0,0,0,0,10
Dr. Lokesh A. Veerappa,Orthopaedic and Joint Replacement Surgeon, Bangalore,Knee Surgery,0,0,0,0,0,0,9
Dr. Samit Chaturvedi,Urologist, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",16,0,0,0,0,0,7
Dr Shoaib Padaria,Interventional Cardiologist, Mumbai," Jaslok Hospital, Mumbai",34,0,0,0,0,0,6
Dr. Manju Sinha,Gynaecologist and Obstetrician, Noida,", Infertility Specialist",0,0,0,0,0,0,5
Dr. Dinesh Kumar Mehta,Ophthalmologist, Gurgaon,Cataract Surgeon,0,0,0,0,0,0,10
Dr Balakumar S,Vascular Surgeon, Chennai," Apollo Spectra Hospital, Chennai",25,0,0,0,0,0,5
Dr. Subrammaniyan S R,, ,,0,0,0,0,0,0,1
Dr. Vidyasagaran T,Vascular Surgeon, Chennai," Apollo Spectra Hospital, Chennai",30,0,0,0,0,0,9
Dr. Anup Gulati,Urologist and Renal Transplant Specialist, Faridabad,Urologist and Andrologist,30,0,0,0,0,0,8
Dr. Chander M Malhothra,General Surgeon, New Delhi,", Neurosurgeon",0,0,0,0,0,0,5
Dr. Pankaj Puri,Medical Gastroenterologist, New Delhi," Fortis Escorts Heart Institute, New Delhi",21,0,0,0,0,0,10
Dr. Meghana D Sarvaiya,Gynaecologist and Obstetrician, Mumbai," Cloud Nine, Mumbai",19,0,0,0,0,0,8
Dr. Shalini Varma,Gynaecologist and Obstetrician, Navi Mumbai," Cloud Nine Hospital, Navi Mumbai",19,0,0,0,0,0,6
Dr. Sukirti Jain,Gynaecologist and Obstetrician, Navi Mumbai," Cloud Nine Hospital, Navi Mumbai",19,0,0,0,0,0,8
Dr N Bhulakshmi,Gynaecologist and Obstetrician, Vishakhapatanam," Medicover Woman & Child Hospitals, Vishakhapatanam ",19,0,0,0,0,0,2
Dr. Smita Sachdeva Kapoor,Ophthalmologist, Faridabad," Centre for Sight Eye Hospital, Sector 16A, Gurgaon",17,0,0,0,0,0,9
Dr. S.S. Bhattacharya,Cardiac Surgeon, Mumbai," Jaslok Hospital, Mumbai",36,0,0,0,0,0,1
Dr. Manoj Jain,Surgical Gastroenterologist, Mumbai,Advanced Laparoscopic,0,0,0,0,0,0,3
Dr. Uday B Khanolkar,Interventional Cardiologist, Bangalore," Narayana Multispeciality Hospital, Bangalore",30,0,0,0,0,0,5
Dr. Deepak Vyas,General Surgeon, Mumbai," Nanavati Super Specialty Hospital, Mumbai",41,0,0,0,0,0,5
Dr. Deepak Vyas,General Surgeon, Mumbai," Nanavati Super Specialty Hospital, Mumbai",41,0,0,0,0,0,7
Dr S Senthil,Orthopaedic and Joint Replacement Surgeon, Chennai,Arthoscopy and Sports Medicine,41,0,0,0,0,0,10
Dr. Ashish Gupta,Neurosurgeon, New Delhi,  ,18,0,0,0,0,0,4
Dr. Shishir Pareek,Liver Transplant Surgeon, Gurgaon," Artemis Hospital, Gurgaon",13,0,0,0,0,0,7
Dr. Akshay Kumar,Psychiatrist, Gurgaon," Artemis Hospital, Gurgaon",17,0,0,0,0,0,8
Dr. Ranjana Mithal,Ophthalmologist, New Delhi,Glaucoma Surgeon,17,0,0,0,0,0,1
Dr. S Ashok Kumar ,Gynaecologist and Obstetrician, Chennai,", Infertility Specialist",0,0,0,0,0,0,1
Dr. Fateh Singh,Urologist, Mumbai," Nanavati Super Specialty Hospital, Mumbai",39,0,0,0,0,0,3
Dr Karanjit Singh Narang  ,Neurosurgeon, Gurgaon,  ,0,0,0,0,0,0,8
Dr. Reginald J,Neurosurgeon, Chennai,,40,0,0,0,0,0,1
Dr. Vincent Thamburaj,General Surgeon, Chennai,", Neurosurgeon",0,0,0,0,0,0,2
Dr. Hirday Kapoor,Gynaecologist and Obstetrician, New Delhi," BLK Super Speciality Hospital, New Delhi",23,0,0,0,0,0,3
Dr. S Rajendran,Surgical Gastroenterologist, Chennai," Apollo Spectra Hospital, Chennai",27,0,0,0,0,0,10
Dr. Subrammaniyan S R,Vascular Surgeon, Chennai," Apollo Spectra Hospital, Chennai",26,0,0,0,0,0,9
Dr. Subrammaniyan S R,Vascular Surgeon, Chennai," Apollo Spectra Hospital, Chennai",26,0,0,0,0,0,3
Dr. Rakesh Bhansali,Paediatric Orthopedecian, Mumbai," SRCC Children�s Hospital, Mumbai",33,0,0,0,0,0,4
Dr. Vidyadhar S.Lad,Cardiac Surgeon, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",18,0,0,0,0,0,9
Dr. Rajiv Sinha,Nephrologist, Kolkata,", Paediatric Nephrologist",0,0,0,0,0,0,9
Dr. K K Pandey,Cardiac Surgeon, New Delhi," Indraprastha Apollo Hospital, New Delhi",23,0,0,0,0,0,1
Dr. Sanjay Kumar Chaudhary,Neurologist, New Delhi," IBS Institute of Brain and Spine, New Delhi",21,0,0,0,0,0,3
Dr. Sanjay Tulsiram Helale,ENT Surgeon, Mumbai," Apollo Hospitals, Mumbai",24,0,0,0,0,0,7
Dr. Krantikumar Rathod,Radiation Oncologist, Mumbai," Apollo Hospitals, Mumbai",21,0,0,0,0,0,7
Dr. Sunil Moreker,Ophthalmologist, Mumbai,Cataract Surgeon,0,0,0,0,0,0,10
Dr. Anand Modi,General Surgeon, Mumbai," Jaslok Hospital, Mumbai",35,0,0,0,0,0,5
Dr. Prof Jayalakshmi T K,Pulmonologist, Mumbai," Apollo Hospitals, Mumbai",22,0,0,0,0,0,5
Dr. Ritu Sethi,Gynaecologist and Obstetrician, Gurgaon," Cloudnine Hospital, Gurgaon (Sector-47)",20,0,0,0,0,0,7
Dr. Gaurav Gupta,Cardiac Surgeon, New Delhi," BLK Super Speciality Hospital, New Delhi",20,0,0,0,0,0,1
Dr. Ashish Sabharwal,Urologist, New Delhi," Apollo Spectra Hospital, New Delhi",15,0,0,0,0,0,3
Dr. Adhishwar Sharma,Cosmetic Surgeon, Gurgaon,  ,20,0,0,0,0,0,6
Dr Aman Dua,Orthopaedic and Joint Replacement Surgeon, New Delhi,Hip Surgery,0,0,0,0,0,0,4
Dr. Ashish Sabharwal,Urologist, New Delhi," Apollo Spectra Hospital, New Delhi",15,0,0,0,0,0,4
Dr. Adhishwar Sharma,Cosmetic Surgeon, Gurgaon,  ,20,0,0,0,0,0,2
Dr Aman Dua,Orthopaedic and Joint Replacement Surgeon, New Delhi,Hip Surgery,0,0,0,0,0,0,10
Dr. Neha Bharti,Ophthalmologist, New Delhi," Bharti Eye Hospital, New Delhi",9,0,0,0,0,0,10
Dr. Harjinder Singh Bhatoe,Neurosurgeon, New Delhi," Max Super Speciality hospital, Patparganj, New Delhi",23,0,0,0,0,0,2
Dr. Geeta Kadayaprath,Surgical Oncologist, New Delhi," Max Super Speciality hospital, Patparganj, New Delhi",15,0,0,0,0,0,1
Dr. Tilak Suvarna,Interventional Cardiologist, Mumbai," Asian Heart Institute, Mumbai",18,0,0,0,0,0,7
Dr. Adwait Gore,Medical Oncologist, Mumbai," Global Hospitals, Mumbai",0,0,0,0,0,0,4
Dr. Anukalp Prakash,Medical Gastroenterologist, Gurgaon," Paras Hospitals, Gurgaon",16,0,0,0,0,0,1
Dr. Vivek Raj ,Surgical Gastroenterologist, Gurgaon," Max Super Specialty Hospital, Gurgaon",24,0,0,0,0,0,3
Dr. Hemalini Samant,Ophthalmologist, Mumbai," Jaslok Hospital, Mumbai",10,0,0,0,0,0,8
Dr. Ashish Goel,Surgical Oncologist, New Delhi," Jaypee Hospital, Noida",24,0,0,0,0,0,7
Dr. Dinesh Kansal,Gynaecologist and Obstetrician, New Delhi,  ,0,0,0,0,0,0,10
Dr Meher Kothari ,Ophthalmologist, Mumbai,Glaucoma Surgeon,0,0,0,0,0,0,1
Dr Sandeep Talwar ,Infertility Specialist, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",21,0,0,0,0,0,10
Dr Vikas Bhardwaj ,Neurosurgeon, Noida,", Spine Surgeon",0,0,0,0,0,0,6
Dr Sanjay Rai ,Surgical Oncologist, Noida,,20,0,0,0,0,0,3
Dr Shreedhar Archik,Orthopaedic and Joint Replacement Surgeon, Mumbai," Global Hospitals, Mumbai",21,0,0,0,0,0,4
Dr Pradeep Rao,Endourologist, Mumbai," Global Hospitals, Mumbai",20,0,0,0,0,0,4
Dr. Dharmaraj Yadav,Orthopaedic and Joint Replacement Surgeon, Mumbai,Arthoscopy and Sports Medicine,0,0,0,0,0,0,6
Dr. Audumbar Borgaonkar,Cosmetic Surgeon, Mumbai, Areeva Medspa,12,0,0,0,0,0,3
Dr. Ankur Singhal,Orthopaedic and Joint Replacement Surgeon, Noida,Hip Surgery,0,0,0,0,0,0,9
Dr Sanjeev Malhotra,Cardiac Surgeon, New Delhi,  ,15,0,0,0,0,0,7
Dr. Susheel Bindroo,Pulmonologist, Mumbai," Jaslok Hospital, Mumbai",13,0,0,0,0,0,2
Dr. Sabeena K. Choudhary,Medical Oncologist, Gurgaon," Millennium Cancer Center, Gurgaon",7,0,0,0,0,0,6
Dr. Ravi Angral,Nephrologist, Ludhiana,", Urologist and Renal Transplant Specialist",0,0,0,0,0,0,10
Dr. Amit Kumar Chaurasia,Interventional Cardiologist, Gurgaon," Artemis Hospital, Gurgaon",3,0,0,0,0,0,6
Dr. Purushottam Vashistha,Medical Gastroenterologist, Mumbai," Nanavati Super Specialty Hospital, Mumbai",15,0,0,0,0,0,3
Dr. Bhawna Singh,Cardiac Surgeon, Amritsar,,16,0,0,0,0,0,9
Dr. Ashish Kakkar,Dentist, New Delhi," Indraprastha Apollo Hospital, New Delhi",25,0,0,0,0,0,1
Dr. Gautam Banga,Urologist, New Delhi,  ,12,0,0,0,0,0,10
Dr. Abhijit Thakur,Medical Gastroenterologist, Mumbai,,19,0,0,0,0,0,9
Dr. N Arulvanan,Obesity and Bariatric Surgeon, Mumbai," Fortis Hospital, Mulund, Mumbai",18,0,0,0,0,0,10
Dr. Sonal Gupta,Neurosurgeon, New Delhi,  ,0,0,0,0,0,0,10
Dr. Rohit Bansil,Neurosurgeon, New Delhi,  ,0,0,0,0,0,0,3
Dr. H. R. Ravi,General Surgeon, Bangalore, Manipal Hospital (Old Airport Road) Bangalore,34,0,0,0,0,0,7
Dr. Divya Sardana,IVF Specialist, Gurgaon," W Pratiksha Hospital, Gurgaon",16,0,0,0,0,0,10
Dr. Deepali Dhingra,Gynaecologist and Obstetrician, New Delhi,  ,10,0,0,0,0,0,8
Dr. Sunit Chandra Singhi,General Paediatrician, Gurgaon," Medanta - The Medicity, Gurgaon",43,0,0,0,0,0,7
Dr. Harshita Bakshi,Ophthalmologist, Chennai," MIOT International, Chennai",30,0,0,0,0,0,9
Dr. Dilip Javali,Urologist and Renal Transplant Specialist, Bangalore,,35,0,0,0,0,0,4
Dr. Ravi Sauhta,Orthopaedic and Joint Replacement Surgeon, Gurgaon,Arthoscopy and Sports Medicine,0,0,0,0,0,0,1
Dr. U.K.Sharma,Nephrologlist, Gurgaon," Paras Hospitals, Gurgaon",39,0,0,0,0,0,4
Dr. Bindhu K S,Gynaecologist and Obstetrician, Mumbai,", Infertility Specialist",0,0,0,0,0,0,7
Dr. Atul Seth,Ophthalmologist, Mumbai,", Paediatric Ophthalmologist",0,0,0,0,0,0,9
Dr. Manoj Chawla,Endocrinologist, Mumbai," S. L. Raheja Hospital, Mumbai",18,0,0,0,0,0,7
Dr. Shobha Rani,Gynaecologist and Obstetrician, Bangalore," Fortis Hospital, Bangalore (Bannerghatta Road)",40,0,0,0,0,0,7
Dr. Adinarayana Makam,Gynaecologist and Obstetrician, Bangalore,", Infertility Specialist",0,0,0,0,0,0,1
Dr. Sheetal Suresh,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,6
Dr. Ali Faizal,Cardiology, Kerala,Cardiac Surgeon,0,0,0,0,0,0,6
Dr. Manoj Chawla,Endocrinologist, Mumbai," S. L. Raheja Hospital, Mumbai",18,0,0,0,0,0,7
Dr. Shobha Rani,Gynaecologist and Obstetrician, Bangalore," Fortis Hospital, Bangalore (Bannerghatta Road)",40,0,0,0,0,0,3
Dr. Adinarayana Makam,Gynaecologist and Obstetrician, Bangalore,", Infertility Specialist",0,0,0,0,0,0,6
Dr. Sheetal Suresh,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,7
Dr. Ali Faizal,Cardiology, Kerala,Cardiac Surgeon,0,0,0,0,0,0,5
Dr Rajiv Shah,Foot and Ankle Surgery, Gandhinagar," Apollo Hospitals, Ahmedabad",20,0,0,0,0,0,3
Dr. Swati Upadhyay,General Surgeon, ," Apollo Hospitals, Ahmedabad",20,0,0,0,0,0,1
Dr. Nilesh Oswal,Pediatric Cardiac Surgeon, Gandhinagar,,20,0,0,0,0,0,7
Dr Charudatta Chaudhari,Cosmetic Surgeon, Navi Mumbai,,20,0,0,0,0,0,9
Dr. Amit Javed,Surgical Gastroenterologist, New Delhi," Fortis Flt. Lt. Rajan Dhall Hospital, Vasant Kunj, New Delhi",20,0,0,0,0,0,10
Dr. Nikhiles Raychaudhary,Nephrologist, Kolkata, Medica Superspecialty Hospital,20,0,0,0,0,0,10
 Dr. Vikash Kapoor,Orthopaedic and Joint Replacement Surgeon, Kolkata,Arthoscopy and Sports Medicine,20,0,0,0,0,0,7
Dr Abdul D Khan,Orthopaedic and Joint Replacement Surgeon, Visakhapatnam," Apollo Hospital, Vizag",20,0,0,0,0,0,2
Dr T Jayamoorthy,Orthopaedic and Joint Replacement Surgeon, Chennai,,20,0,0,0,0,0,1
Dr. Satyendra Katewa,Stem Cell Specialist, Jaipur," Manipal Hospital, Jaipur",20,0,0,0,0,0,9
Dr. Alok Mathur,Cardiac Surgeon, Jaipur," CK Birla Hospital, Jaipur",20,0,0,0,0,0,5
Dr. Alok Jain,Nephrologist, Jaipur," CK Birla Hospital, Jaipur",20,0,0,0,0,0,6
Dr. Devendra K. Sharma,Nephrologist, Jaipur," CK Birla Hospital, Jaipur",20,0,0,0,0,0,4
Dr. (Major) Ramesh Das,General Surgeon, Ranchi," Bhagwan Mahavir Medica Superspecialty Hospital, Ranchi",21,0,0,0,0,0,2
Dr Shankar Ganesh C V,Neurosurgeon, Chennai," Apollo Cancer Hospital, Chennai",20,0,0,0,0,0,8
Dr. Kapil Mathur,Vascular Surgeon, Chennai," Apollo Specialty Hospital, OMR",20,0,0,0,0,0,5
Dr. Vibha Arora,Gynaecologist and Obstetrician, Mumbai," Cloud Nine, Mumbai",20,0,0,0,0,0,2
Dr. Karri Venkata Reddy,Cardiac Surgeon, Hyderabad," Apollo Hospital, Hyderguda",20,0,0,0,0,0,10
Dr. N Manohar Reddy,Neurosurgeon, Hyderabad," Apollo Hospital, Hyderguda",20,0,0,0,0,0,6
Dr Brig. Ranjit Ghuliani,General Paediatrician, Greater Noida," Sharda Hospital, Greater Noida",20,0,0,0,0,0,9
Dr.P. Balasubramanian,Cardiac Surgeon, Chennai,", Interventional Cardiologist",0,0,0,0,0,0,10
Dr. D Vinoth Kumar,Cosmetic Surgeon, Chennai," Vijaya Hospital, Chennai",20,0,0,0,0,0,1
Dr. Anoop T ,Vascular Surgeon, Bangalore," Manipal hospitals Life's On, Whitefield",15,0,0,0,0,0,9
Dr. Sankhadip Pramanik,Cardiac Surgeon, Kolkata," Ruby General Hospital, Kolkata",20,0,0,0,0,0,6
Dr. Sunil Baran Das Chakraborty,Medical Gastroenterologist, Kolkata," Ruby General Hospital, Kolkata",20,0,0,0,0,0,3
Dr. Avishek Das,Orthopaedic and Joint Replacement Surgeon, Kolkata," Ruby General Hospital, Kolkata",20,0,0,0,0,0,7
Dr. Rajeshwar Kalla,Orthopaedic and Joint Replacement Surgeon, Jaipur,Arthoscopy and Sports Medicine,0,0,0,0,0,0,8
Dr. Mir Jawad Zar Khan,Spine Surgeon, Telangana,Hand and Wrist Surgery,0,0,0,0,0,0,2
Dr. Meera Keswani,Ophthalmologist, Ajmer,Cataract Surgeon,0,0,0,0,0,0,1
Dr. R. Padmakumar,Laparoscopic Surgeon, Kochi," VPS Lakeshore Hospital, Kochi",23,0,0,0,0,0,3
Dr. Abdun Nayeem Mohammed,Liver Transplant Surgeon, Chennai," Apollo Spectra Hospital, Chennai",22,0,0,0,0,0,2
Dr. Sharukh A Golwalla,Interventional Cardiologist, Mumbai," Jaslok Hospital, Mumbai",35,0,0,0,0,0,8
Dr. Sharad N. Shenoy,General Surgeon, Mumbai," Jaslok Hospital, Mumbai",30,0,0,0,0,0,5
Dr. Govind Verma,Surgical Gastroenterologist, Hyderabad,Hepato-Pancreato-Biliary Surgeon,30,0,0,0,0,0,9
Dr. Shweta Bansal Wazir,Gynaecologist and Obstetrician, Gurgaon," Cloudnine Hospital, Gurgaon (Sector-47)",20,0,0,0,0,0,5
Dr. Muthu Kumar P,Nephrologist, Chennai," Global Hospitals, Chennai",15,0,0,0,0,0,1
Dr. Rajasekhar Perumalla,Urologist and Renal Transplant Specialist, Kochi,,25,0,0,0,0,0,10
Dr. Bhawana Saddy Awasthy,Medical Oncologist, Gurgaon," W Pratiksha Hospital, Gurgaon",20,0,0,0,0,0,7
Dr. Balaji V,Vascular Surgeon, Chennai," Apollo Spectra Hospital, Chennai",22,0,0,0,0,0,2
Dr. Amit Upadhyay,Hematologist, New Delhi," Pushpawati Singhania Research Institute, New Delhi",19,0,0,0,0,0,4
Dr. Mukesh Aggarwal,Orthopaedic and Joint Replacement Surgeon, New Delhi," Fortis Hospital, Shalimar Bagh, New Delhi",22,0,0,0,0,0,4
Dr. Jayanti Mani,Neurologist, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",19,0,0,0,0,0,8
Dr. Shreyash Gajjar,Orthopaedic and Joint Replacement Surgeon, Mumbai,Arthoscopy and Sports Medicine,0,0,0,0,0,0,7
Dr Nandakishore,Urologist, Bangalore,Endourologist,0,0,0,0,0,0,10
Dr. Dinesh Jothimani,Gastroenterology-0, Chennai,", Surgical Gastroenterologist",0,0,0,0,0,0,8
Dr. Vinod Urs,ENT Surgeon, Bangalore," Fortis hospital, Bangalore (Rajajinagar)",37,0,0,0,0,0,2
Dr. Dipak Kumar Ray,Rheumatologist, Kolkata," AMRI Hospital, Kolkata (Mukundapur)",25,0,0,0,0,0,7
Dr. Madhurima Vidyarthi,Endocrinologist, Kolkata," AMRI Hospitals, Southern Avenue",21,0,0,0,0,0,6
Dr. Sudesh Prabhakar,Neurologist, Mohali," Fortis Hospital, Mohali",42,0,0,0,0,0,3
Dr. Prabha Karthik,ENT Surgeon, Chennai," Apollo Spectra Hospital, Chennai",18,0,0,0,0,0,7
Dr. Surinder Chugh,General Surgeon, New Delhi," Batra Hospital & Medical Research Centre, New Delhi",20,0,0,0,0,0,6
Dr V G Rajan,Orthopaedic and Joint Replacement Surgeon, Bangalore,Arthoscopy and Sports Medicine,0,0,0,0,0,0,4
Dr. Sandhya Manorenj,Neurologist, Hyderabad," Pace Hospital, Hyderabad",21,0,0,0,0,0,7
Dr. Ravindra K Tongia,Cardiac Surgeon, Jaipur, Fortis Escorts Hospital Jaipur,45,0,0,0,0,0,6
Dr. Niraj Joshi,ENT Surgeon, Chennai," Apollo Spectra Hospital, Chennai",19,0,0,0,0,0,4
Dr. Pranathi Gutta,Paediatric Neurologist, Hyderabad," Apollo Hospitals, Jubilee Hills Hyderabad",20,0,0,0,0,0,2
Dr. Bharat Dubey,Cardiac Surgeon, Bangalore," Columbia Asia Hospital, Bangalore(Whitefield)",20,0,0,0,0,0,1
Dr. Gursev Sandlas,Pediatric Urologist, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",14,0,0,0,0,0,9
Dr. Neelamekam Thoppa Kapali,Hepato-Pancreato-Biliary Surgeon, Chennai,General Surgeon,14,0,0,0,0,0,8
Dr. Joydeep Banerjee Chowdhury,Orthopaedic and Joint Replacement Surgeon, Kolkata,", Shoulder Surgery",0,0,0,0,0,0,5
Dr. Sanjiv Bharadwaj,Interventional Cardiologist, Noida," Jaypee Hospital, Noida",19,0,0,0,0,0,3
Dr. Rohit Krishna,Aesthetics and Plastic Surgeon, Gurgaon,", Cosmetic Surgeon",0,0,0,0,0,0,4
Dr. Imran Shaikh,Liver Transplant Surgeon, Mumbai,  ,13,0,0,0,0,0,2
Dr. Arindam Deb,Ophthalmologist, Kolkata,Cataract Surgeon,0,0,0,0,0,0,6
Dr. Shalabh Mohan,Obesity and Bariatric Surgeon, Gurgaon,Advanced Laparoscopic,0,0,0,0,0,0,5
Dr. Shalini Pandey ,General Paediatrician, New Delhi," Batra Hospital & Medical Research Centre, New Delhi",20,0,0,0,0,0,6
Dr. Siva Muthukumar,Cardiac Surgeon, Chennai," Apollo Specialty Hospital, OMR",23,0,0,0,0,0,3
Dr. Yogesh Arora,Ophthalmologist, New Delhi,Glaucoma Surgeon,23,0,0,0,0,0,4
Dr. Sadan Palande,Neurosurgeon, Chennai," Apollo Spectra Hospital, Chennai",23,0,0,0,0,0,4
Dr. S.R. Handa,Interventional Cardiologist, Mumbai," Jaslok Hospital, Mumbai",30,0,0,0,0,0,8
Dr. Pradeep Y V,Aesthetics and Plastic Surgeon, Bangalore,", Cosmetic Surgeon",0,0,0,0,0,0,6
Dr. A Navaladi Shankar,Orthopaedic and Joint Replacement Surgeon, Chennai,Hip Surgery,0,0,0,0,0,0,6
Dr. Sadiq Saleem Sikora,Surgical Gastroenterologist, Bangalore," Sakra World Hospital, Bangalore",28,0,0,0,0,0,1
Dr. Kumara Krishnan ,Surgical Gastroenterologist, Chennai," Apollo Spectra Hospital, Chennai",22,0,0,0,0,0,10
